id;consent_token;consent_given_at;expires_at;is_revoked;revoked_at
1;c7f3a9b2d4e5;2025-03-28T22:54:36;2025-04-28T22:54:36;false;
2;d8e4f5a6b7c9;2025-03-29T01:39:11;2025-04-29T01:39:11;true;2025-03-29T03:16:46
3;e9f5b6c7d8a0;2025-03-29T12:01:03;2025-04-29T12:01:03;true;2025-03-29T16:28:33
4;f0a6b7c8d9e1;2025-03-29T17:52:41;2025-04-29T17:52:41;true;2025-03-29T04:41:30
5;a1b7c8d9e0f2;2025-03-29T08:15:25;2025-04-29T08:15:25;true;2025-03-29T01:26:27
6;b2c8d9e0f1a3;2025-03-29T17:12:30;2025-04-29T17:12:30;false;
7;c3d9e0f1a2b4;2025-03-28T23:47:49;2025-04-28T23:47:49;false;
8;d4e0f1a2b3c5;2025-03-29T02:28:03;2025-04-29T02:28:03;false;
9;e5f1a2b3c4d6;2025-03-28T23:49:12;2025-04-28T23:49:12;false;
10;f6a2b3c4d5e7;2025-03-29T14:04:42;2025-04-29T14:04:42;false;
